CustomerID,Email,Name,Active,BillingAddressName,BillingCompany,BillingAddress1,BillingAddress2,BillingSuite,BillingCity,BillingCountry,BillingState,BillingZipCode,BillingPhone,BillingFax,ShippingAddressName,ShippingCompany,ShippingAddress1,ShippingAddress2,ShippingSuite,ShippingCity,ShippingCountry,ShippingState,ShippingZipCode,ShippingPhone,ShippingFax
25909,"karan@kaushalam.com","karan bhati","Yes","karan Bhati","Kaushalam","Street 356","","","Waltham","United States","California","90662","111-111-1111","","bhati Karan","","Street 356","","","Waltham","United States","Massachusetts","02451","111-111-1111",""
1,"karan@kaushalam.com","Kristen Nakamura","No","bhati Karan","","Street 356","","","Waltham","United States","Massachusetts","02451","111-111-1111","","","","","","","","","","","",""
11158,"karan@kaushalam.com","Karan Bhati","No","","","","","","","","","","","","","","","","","","","","","",""
11404,"karan.bhati@kaushalam.com","Karan bhati","Yes","","","","","","","","","","","","","","","","","","","","","",""
11448,"karanb@kaushalam.com","Karan Bhati","Yes","","","","","","","","","","","","","","","","","","","","","",""
11452,"karan@kaushalam.com","Karan Bhati","No","","","","","","","","","","","","","","","","","","","","","",""
11454,"karan@kaushalam.com","Karan Bhati","No","","","","","","","","","","","","","","","","","","","","","",""
11456,"hetal@ydeveloper.com","Karan Bhati","Yes","","","","","","","","","","","","","","","","","","","","","",""
12509,"brijesh@kaushalam1.com","Karan Bhati","No","","","","","","","","","","","","","","","","","","","","","",""
118573,"karan@kaushalam1.com","karan bhati","No","","","","","","","","","","","","","","","","","","","","","",""
118574,"karan@kaushalam1.com","karan bhati","No","","","","","","","","","","","","","","","","","","","","","",""
529338,"karan@kaushalam.com","Karan bhati","No","bhati Karan","","Street 356","","","Waltham","United States","Massachusetts","02451","111-111-1111","","Karan bhati","","Street 356","","","Waltham","United States","Massachusetts","02451","111-111-1111",""
532338,"karan@kaushalam.com","Karan Bhati","No","Bhati Karan","","kalanala","","","Waltham","United States","Massachusetts","02451","111-111-1111","","Karan Bhati","","356 street","","","Waltham","United States","Massachusetts","02451","111-111-1111",""
532339,"karan@kaushalam1.com","karan bhati","No","bhati karan","","356 streetd","","","Waltham","United States","Massachusetts","02451","111-111-1111","","karan Bhati","","356 street","","","Waltham","United States","Massachusetts","02451","111-111-1111",""
532352,"karan@kaushalam5.com","karan bhati","No","bhati karan","","Stret 356","","","Waltham","United States","Massachusetts","02451","111-111-1111","","karan bhati","","Stret 356","","","Waltham","United States","Massachusetts","02451","111-111-1111",""
532340,"karan@kaushalam2.com","Bhati Karan","Yes","Karan Bhati","","Street 356","","","Waltham","United States","Massachusetts","02451","111-111-1111","","Karan Bhati","","Street 356","","","Waltham","United States","Massachusetts","02451","111-111-1111",""
555495,"karan@abc.com","karan BHati","No","Karan Bhati","","356 street","","","Waltham","United States","Massachusetts","02451","111-111-1111","","Karan Bhati","","356 street","","","Waltham","United States","Massachusetts","02451","111-111-1111",""
555496,"Karan@xyz.com","karan bhati","No","karan bhati","","356 street","","","Waltham","United States","Massachusetts","02451","111-111-1111","","karan bhati","","356 street","","","Waltham","United States","Massachusetts","02451","111-111-1111",""
567671,"karan@kaushalam.com","karan bhati","No","karan bhati","","356 Street","","","Waltham","United States","Massachusetts","02451","111-111-1111","","karan bhati","","356 Street","","","Waltham","United States","Massachusetts","02451","111-111-1111",""
568682,"Test@gmail.com","karan bhati","No","karan bhati","","356 street","","","waltham","United States","Massachusetts","02451","111-111-1111","","karan bhati","","356 street","","","waltham","United States","Massachusetts","02451","111-111-1111",""
572714,"karan@kaushalam.com","Karan Bhati","No","Karan Bhati","","356 Street","","","waltham","United States","Massachusetts","02451","111-111-1111","","Karan Bhati","","356 Street","","","waltham","United States","Massachusetts","02451","111-111-1111",""
572715,"karan@kaushalam.com","Karan Bhati","No","Karan Bhati","","356 Street","","","waltham","United States","Massachusetts","02451","111-111-1111","","Karan Bhati","","356 Street","","","waltham","United States","Massachusetts","02451","111-111-1111",""
575825,"karan231@kaushalam.com","Karan Bhati","Yes","Karan Bhati","","356,lincon street","","","waltham","United States","Massachusetts","02451","111-111-1111","","Karan Bhati","","356,lincon street","","","waltham","United States","Massachusetts","02451","111-111-1111",""
575840,"nn@ymail1.com","jully Bebe","Yes","bhati Karan","","Street 356","","","Waltham","United States","Massachusetts","02451","111-111-1111","","jully Bebe","","356,lincon street","","","waltham","United States","Massachusetts","02451","123-456-7890",""
575842,"jj@bb.com","birva shah","Yes","bhati Karan","","Street 356","","","Waltham","United States","Massachusetts","02451","111-111-1111","","birva shah","","356 Street","","","waltham","United States","Hawaii","02451","111-111-1111",""

